date, pm25, pm10, o3, no2, so2
2014/11/1, 13, , 21, 2, 
2014/11/2, 32, , 18, 2, 
2014/11/3, 49, , 21, 2, 
2014/11/4, 64, , 29, 1, 
2014/11/5, 15, , 23, 1, 
2014/11/6, 9, , 17, 1, 
2014/11/7, 11, , 25, , 
2014/11/8, 10, , 22, 1, 
2014/11/9, 34, , 23, 1, 
2014/11/10, 26, , 16, 2, 
2014/11/11, 28, , 17, 1, 
2014/11/12, 18, , 17, 2, 
2014/11/13, 18, , 22, 1, 
2014/11/14, 33, , 24, 1, 
2014/11/15, 38, , 25, 1, 
2014/11/16, 34, , 22, 1, 
2014/11/17, 31, , 24, 1, 
2014/11/18, 42, , 28, 1, 
2014/11/19, 23, , 22, 1, 
2014/11/20, 31, , 20, 3, 
2014/11/21, 32, , 20, 2, 
2014/11/22, 26, , 28, 1, 
2014/11/23, 15, , 23, 1, 
2014/11/24, 24, , 24, 1, 
2014/11/25, 17, , 12, 1, 
2014/11/26, 10, , 15, 1, 
2014/11/27, 23, , 26, 1, 
2014/11/28, 22, , 26, 1, 
2014/11/29, 22, , 27, , 
2014/11/30, 23, , 29, , 
2014/12/1, 25, , 28, , 
2014/12/2, 33, , 23, 1, 
2014/12/3, 31, , 20, 2, 
2014/12/4, 21, , 24, 1, 
2014/12/5, 36, , 27, 1, 
2014/12/6, 24, , 29, , 
2014/12/7, 13, , 28, , 
2014/12/8, 14, , 28, 1, 
2014/12/9, 14, , 27, 1, 
2014/12/10, 21, , 28, 1, 
2014/12/11, 19, , 30, , 
2014/12/12, 12, , 28, , 
2014/12/13, 15, , 27, , 
2014/12/14, 16, , 25, 1, 
2014/12/15, 27, , 31, , 3
2014/12/16, 18, , 28, , 
2014/12/17, 17, , 26, , 1
2014/12/18, 13, , 30, 1, 
2014/12/19, 12, , 30, , 
2014/12/20, 11, , 28, , 
2014/12/21, 11, , 27, , 
2014/12/22, 8, , 22, , 
2014/12/23, 13, , 25, , 
2014/12/24, 11, , 26, , 
2014/12/25, 11, , 26, , 
2014/12/26, 11, , 29, , 
2014/12/27, 13, , 27, , 
2014/12/28, 12, , , , 
2014/7/1, 17, , 29, , 
2014/7/2, 20, , 31, , 
2014/7/3, 21, , 27, 1, 
2014/7/4, 24, , 40, 1, 
2014/7/5, 25, , 32, 2, 
2014/7/6, 29, , 35, 3, 
2014/7/7, 36, , 37, 3, 
2014/7/8, 38, , 44, 2, 
2014/7/9, 36, , 31, 1, 
2014/7/10, 25, , 24, , 
2014/7/11, 14, , 29, , 
2014/7/12, 17, , 32, 1, 
2014/7/13, 42, , 33, 1, 
2014/7/14, 24, , 35, 1, 
2014/7/15, 24, , 28, 1, 
2014/7/16, 24, , 30, 1, 
2014/7/17, 18, , 29, 1, 
2014/7/18, 19, , 35, 1, 
2014/7/19, 23, , 38, 1, 
2014/7/20, 22, , 31, 2, 
2014/7/21, 30, , 32, 1, 
2014/7/22, 27, , 29, 2, 
2014/7/23, 28, , 31, 1, 
2014/7/24, 25, , 31, 1, 
2014/7/25, 28, , 32, 1, 
2014/7/26, 24, , 31, 1, 
2014/7/27, 28, , 41, 1, 
2014/7/28, 29, , 39, , 
2014/7/29, 43, , , 1, 
2014/7/30, 44, , , 1, 
2014/7/31, 33, , , 1, 
2014/8/1, 16, , , , 
2014/8/2, 24, , , 1, 
2014/8/3, 28, , , 2, 
2014/8/4, 40, , , 2, 
2014/8/5, 44, , , 2, 
2014/8/6, 39, , , 1, 
2014/8/7, 40, , , 1, 
2014/8/8, 35, , , , 
2014/8/9, 33, , , , 
2014/8/10, 21, , , , 
2014/8/11, 18, , , 1, 
2014/8/12, 17, , , , 
2014/8/13, 13, , , 1, 
2014/8/14, 18, , , , 
2014/8/15, 15, , , , 
2014/8/16, 12, , , , 
2014/8/17, 4, , , , 
2014/8/18, 15, , , , 
2014/8/19, 13, , , , 
2014/8/20, 14, , , , 
2014/8/21, 16, , , , 
2014/8/22, 13, , , , 
2014/8/23, 20, , , , 
2014/8/24, 14, , , , 
2014/8/25, 13, , , , 
2014/8/26, 15, , , , 
2014/8/27, 19, , , , 
2014/8/28, 13, , , , 
2014/8/29, 14, , , , 
2014/8/30, 17, , , , 
2014/8/31, 16, , , , 
2014/9/1, 13, , , 1, 
2014/9/2, 18, , , , 
2014/9/3, 20, , , 1, 
2014/9/4, 17, , , 1, 
2014/9/5, 22, , , , 
2014/9/6, 25, , , 1, 
2014/9/7, 22, , , 2, 
2014/9/8, 29, , , 1, 
2014/9/9, 30, , , , 
2014/9/10, 36, , , 1, 
2014/9/11, 45, , , , 
2014/9/12, 41, , , 1, 
2014/9/13, 32, , , , 1
2014/9/14, 24, , , , 1
2014/9/15, 38, , , , 
2014/9/16, 37, , , 1, 1
2014/9/17, 46, , , 1, 
2014/9/18, 39, , , 1, 1
2014/9/19, 44, , , 2, 
2014/9/20, 62, , , 1, 
2014/9/21, 67, , , 1, 
2014/9/22, 34, , , , 
2014/9/23, 8, , , , 
2014/9/24, 12, , , 1, 
2014/9/25, 22, , , , 
2014/9/26, 21, , , , 
2014/9/27, 12, , , , 
2014/9/28, 17, , , , 
2014/9/29, 22, , , , 
2014/5/2, 12, , 36, 1, 
2014/5/3, 11, , 35, , 
2014/5/4, 10, , 29, , 
2014/5/5, 12, , 31, 1, 
2014/5/6, 13, , 36, 2, 
2014/5/7, 16, , 33, 1, 
2014/5/8, 20, , 30, 2, 
2014/5/9, 21, , 26, 4, 
2014/5/10, 13, , 29, 4, 
2014/5/11, 15, , 33, 1, 
2014/5/12, 15, , 32, 1, 
2014/5/13, 12, , 31, , 
2014/5/14, 9, , 25, 1, 
2014/5/15, 10, , 27, 3, 
2014/5/16, 21, , 26, 7, 
2014/5/17, 19, , 40, 6, 
2014/5/18, 31, , 35, 4, 
2014/5/19, 53, , 37, 3, 
2014/5/20, 38, , 40, 3, 
2014/5/21, 41, , 47, 4, 
2014/5/22, 40, , 44, 3, 
2014/5/23, 47, , 39, 4, 
2014/5/24, 51, , 38, 4, 
2014/5/25, 58, , 28, 2, 
2014/5/26, 26, , 19, , 
2014/5/27, 8, , 21, , 
2014/5/28, 17, , 22, , 
2014/5/29, 17, , 20, 1, 
2014/5/30, 16, , 23, 1, 
2014/5/31, 20, , 26, , 
2014/6/1, 15, , 27, 1, 
2014/6/2, 18, , 23, 1, 
2014/6/3, 24, , 24, 6, 
2014/6/4, 34, , 29, 3, 
2014/6/5, 48, , 39, 1, 
2014/6/6, 37, , 39, 2, 
2014/6/7, 26, , 35, 2, 
2014/6/8, 36, , 37, 2, 
2014/6/9, 27, , 30, , 
2014/6/10, 21, , 28, 1, 
2014/6/11, 22, , 31, 1, 
2014/6/12, 19, , 26, 1, 
2014/6/13, 16, , 25, , 
2014/6/14, 13, , 27, 1, 
2014/6/15, 14, , 24, , 
2014/6/16, 14, , 24, , 
2014/6/17, 10, , 26, , 
2014/6/18, 12, , 21, 1, 
2014/6/19, 13, , 21, , 
2014/6/20, 10, , 24, , 
2014/6/21, 8, , 23, , 
2014/6/22, 11, , 26, , 
2014/6/23, 7, , 23, 1, 
2014/6/24, 20, , 24, , 
2014/6/25, 12, , 24, , 
2014/6/26, 14, , 27, , 
2014/6/27, 13, , 33, 1, 
2014/6/28, 13, , 26, 1, 
2014/6/29, 23, , 22, 1, 
2014/6/30, 33, , 22, 1, 
2024/2/24, , 12, 25, 2, 1
2022/11/23, , 2, 17, 1, 
2022/12/27, , 3, 32, , 
2022/10/19, , , 29, , 
2022/10/20, , , 26, , 
2022/10/21, , , 26, , 
2022/10/22, , , 30, , 
2022/10/23, , , 28, , 
2022/10/24, , , 24, , 
2022/10/25, , , 21, 1, 
2022/10/26, , , 20, , 
2022/10/27, , , 21, 1, 
2022/10/28, , , 31, , 
2022/10/29, , , 29, , 
2022/10/30, , , 23, , 
2022/10/31, , , 20, 1, 
2022/11/1, , , 24, , 
2022/11/2, , , 24, 1, 
2022/11/3, , , 24, , 
2022/11/4, , , 21, , 
2022/11/5, , , 25, , 
2022/11/6, , , 24, 1, 
2022/11/7, , , 24, , 
2022/11/8, , , 19, 1, 
2022/11/9, , , 24, 1, 
2022/11/10, , , 23, , 
2022/11/11, , , 24, , 
2022/11/12, , , 26, , 
2022/11/13, , , 23, , 
2022/11/14, , , 21, , 
2022/11/15, , , 21, , 
2022/11/16, , , 23, , 
2022/11/17, , , 24, , 
2022/11/18, , , 23, , 
2022/11/19, , , 21, , 
2022/11/20, , , 20, , 
2022/11/21, , , 17, 1, 
2022/11/22, , , 20, 1, 
2022/12/26, , , 26, , 
2022/1/28, , , 29, , 
2021/11/27, , , 21, , 
2021/5/18, , , 33, 1, 
2021/2/3, , , 29, , 
2021/2/4, , , 32, , 
2021/2/5, , , 33, , 
2021/2/6, , , 33, , 
2021/2/7, , , 32, , 
2021/2/8, , , 30, , 
2021/2/9, , , 29, 2, 
2021/3/11, , , 27, 1, 
2021/3/12, , , 27, 1, 
2021/3/13, , , 24, 1, 
2021/3/14, , , 30, , 
2021/3/15, , , 29, , 
2021/3/16, , , 30, , 
2021/3/17, , , 29, , 
2021/3/18, , , 26, , 
2021/3/19, , , 27, , 
2021/3/20, , , 36, , 
2021/3/21, , , 35, , 
2021/3/22, , , 33, 2, 
2021/3/23, , , 30, , 
2020/10/19, , , 27, , 
2020/10/20, , , 27, , 
2020/10/21, , , 19, , 
2020/10/22, , , 24, , 
2020/10/23, , , 23, , 
2020/10/24, , , 24, , 
2020/10/25, , , 22, , 
2020/10/26, , , 24, , 
2020/10/27, , , 23, , 
2020/11/10, , , 26, , 
2020/11/11, , , 24, , 
2020/11/12, , , 32, , 
2020/11/13, , , 14, 1, 
2020/11/14, , , 18, 1, 
2020/11/20, , , 29, , 
2020/11/23, , , 29, , 
2020/11/24, , , 22, , 
2020/11/25, , , 25, 1, 
2020/11/26, , , 26, , 
2020/11/27, , , 17, , 
2020/11/28, , , 13, 1, 
2020/11/29, , , 21, 1, 
2020/11/30, , , 23, , 
2020/12/1, , , 19, , 
2020/12/2, , , 21, , 
2020/12/3, , , 17, 1, 
2020/12/4, , , 16, 1, 
2020/12/5, , , 19, 1, 
2020/12/6, , , 27, 1, 
2020/12/7, , , 24, , 
2020/9/11, , , 30, , 
2020/9/12, , , 28, , 
2020/3/31, , , 34, , 
2019/12/31, , , 30, , 
2019/10/29, , , 27, , 
2019/10/30, , , 30, , 
2019/11/1, , , 30, , 
2019/11/2, , , 25, , 
2019/11/3, , , 25, , 
2019/11/4, , , 26, , 
2019/11/5, , , 27, , 
2019/11/6, , , 22, 1, 
2019/11/7, , , 16, , 
2019/11/8, , , 21, 1, 
2019/11/9, , , 16, 1, 
2019/11/10, , , 20, , 
2019/11/11, , , 24, , 
2019/11/12, , , 23, 1, 
2019/11/13, , , 23, , 
2019/12/2, , , 32, , 
2019/12/3, , , 23, 1, 
2019/12/4, , , 28, , 
2019/12/5, , , 26, 1, 
2019/12/6, , , 32, 1, 
2019/12/10, , , 30, , 
2019/12/11, , , 24, , 
2018/12/31, , , 29, , 
2018/10/9, , , 25, 1, 
2018/8/14, , , 28, 1, 
2018/8/15, , , 34, , 
2018/2/1, , , 23, 1, 
2016/1/3, , , 24, , 
2015/10/4, , , 26, , 
2015/10/6, , , 25, , 
2015/11/10, , , 25, , 
2015/7/29, , , 33, , 
2015/9/27, , , 28, , 
2015/4/29, , , 37, 1, 
2015/5/11, , , 42, 2, 
2014/12/31, , , 26, 1, 
2014/10/6, , , , 1, 
